Dealer ID,Dealer Name,Phone,Address,City,State,Custom Address,Dealer Iframe Map,Zip Code,About Dealer,Dealer Image,Lical Image,Radius,Rating,Review Count,Invnetory Link
D-24787047,Mercedes-Benz of Austin,N/A,6757 Airport Blvd,Austin,TX,"Austin, TX",N/A,78752,Renee was helpful,https://static.cargurus.com/images/site/2019/09/09/15/10/mercedes-benz_of_austin-pic-7517586999372126842-200x200.jpeg,public/uploads/dealer/Mercedes-Benz-of-Austin_Austin_TX.jpg,5 mi,4.5,22,https://www.cargurus.com/Cars/m-Mercedes-Benz-of-Austin-sp272596,1,1
D-24787048,West Auto Sales,N/A,5401 South Congress Avenue,Austin,TX,"Austin, TX",N/A,78745,"Great communication, and very quick response.",https://static.cargurus.com/images/site/2021/03/11/16/00/west_auto_sales-pic-16263735601084231610-200x200.jpeg,public/uploads/dealer/West-Auto-Sales_Austin_TX.jpg,5 mi,5.0,4,https://www.cargurus.com/Cars/m-West-Auto-Sales-sp386008,1,1
D-24787049,Volvo Cars of Austin,N/A,7216 N Interstate Hwy 35,Austin,TX,"Austin, TX",N/A,78752,"Aaron Leal was a great help and worked with me to get the vehicle I wanted. I would not hesitate to recommend 
him to anyone.",https://static.cargurus.com/images/site/2022/01/20/18/10/volvo_cars_of_austin-pic-8329852299662088746-200x200.jpeg,public/uploads/dealer/Volvo-Cars-of-Austin_Austin_TX.jpg,5 mi,5.0,3,https://www.cargurus.com/Cars/m-Volvo-Cars-of-Austin-sp231338,1,1
D-24787050,Porsche South Austin,N/A,6001 S I-35 Frontage Rd,Austin,TX,"Austin, TX",N/A,78744,Dealer responded to email and called promptly Attempted to set up a test drive,https://static.cargurus.com/images/site/2022/01/14/13/51/porsche_south_austin-pic-8228163025366347459-200x200.jpeg,public/uploads/dealer/Porsche-South-Austin_Austin_TX.jpg,5 mi,4.1,7,https://www.cargurus.com/Cars/m-Porsche-South-Austin-sp444734,1,1
D-24787051,Capitol Chevrolet,N/A,6200 S I H 35,Austin,TX,"Austin, TX",N/A,78745,"Terrible waste of time. I was interested in a 4runner listed for $35,751 on CarGurus + dealer website. After a request for info, a rep reached 
out. I called out the reviews and mentioned I would be coming from Wyoming to purchase and that I need to know if the advertised price is the 
price I would be paying. Each of 5 times I asked, he responded with ""when can you come down to see it?"" He would not answer my question. 
I said is this price, $35,751, the price I would pay?... I'm not coming all the way there for you to tell me that it costs $43,000."" He chose his 
words very carefully and said, ""that's the ""online price."" I said, yes, but is it the price I would be paying.Again, he responded with ""when can 
you come see it?"" If you're looking for a decent car dealer, I'm afraid you'll have to look elsewhere. The dealership responded with canned 
comments to the poor reviews on CarGurus, but meaningless when they continue dishonest business practices. Very Disappointed.",https://static.cargurus.com/images/site/2024/03/22/13/55/capitol_chevrolet-pic-4327190217145008095-200x200.jpeg,public/uploads/dealer/Capitol-Chevrolet_Austin_TX.jpg,5 mi,3.1,19,https://www.cargurus.com/Cars/m-Capitol-Chevrolet-sp245190,1,1
D-24787052,Twin Motors LLC,N/A,6217 South Congress,Austin,TX,"Austin, TX",N/A,78745,No reviews available,No image,,6 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Twin-Motors-LLC-sp339222,1,1
D-24787053,Drive 512 Auto Ranch,N/A,6219 S Congress Ave,Austin,TX,"Austin, TX",N/A,78745,No reviews available,No image,,6 mi,5.0,1,https://www.cargurus.com/Cars/m-Drive-512-Auto-Ranch-sp353537,1,1
D-24787054,Down Under Auto Sales,N/A,4700 South Lamar Boulevard,Austin,TX,"Austin, TX",N/A,78745,I give them 5 stars for their customer service but the trucks are from boarder patrol and the one we looked at smelled really bad and had issues that someone who wants a fixer upper or just a work truck it would be good for them. I asked some of the neighboring businesses and people and they told me and my husband to run. That’s what we did and we found 10x better.,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer/Down-Under-Auto-Sales_Austin_TX.jpg,6 mi,5.0,2,https://www.cargurus.com/Cars/m-Down-Under-Auto-Sales-sp387962,1,1
D-24787055,Roger Beasley Mazda Central,N/A,6825 Burnet Rd,Austin,TX,"Austin, TX",N/A,78757,Great people at Roger Beasley Mazda.  Work with you to help you.,https://static.cargurus.com/images/site/2020/04/15/12/04/roger_beasley_mazda_central-pic-480449482335004004-200x200.jpeg,public/uploads/dealer/Roger-Beasley-Mazda-Central_Austin_TX.jpg,6 mi,4.4,18,https://www.cargurus.com/Cars/m-Roger-Beasley-Mazda-Central-sp64589,1,1
D-24787056,Vanguard Volkswagen of North Austin,N/A,6900 Burnet Rd,Austin,TX,"Austin, TX",N/A,78757,He was good,https://static.cargurus.com/images/site/2023/03/17/11/39/vanguard_volkswagen_of_north_austin-pic-11757991026493841600-200x200.jpeg,public/uploads/dealer/Vanguard-Volkswagen-of-North-Austin_Austin_TX.jpg,6 mi,4.5,11,https://www.cargurus.com/Cars/m-Vanguard-Volkswagen-of-North-Austin-sp302511,1,1
D-24787057,Luxury Auto Works,N/A,8300 N Lamar Blvd,Austin,TX,"Austin, TX",N/A,78753,Very professional,https://static.cargurus.com/images/site/2017/07/18/13/06/luxury_auto_sales-pic-7337361803394717348-200x200.jpeg,public/uploads/dealer/Luxury-Auto-Works_Austin_TX.jpg,6 mi,4.7,13,https://www.cargurus.com/Cars/m-Luxury-Auto-Works-sp401509,1,1
D-24787058,Polestar Austin,N/A,7524 Burnet Road,Austin,TX,"Austin, TX",N/A,78757,No reviews available,https://static.cargurus.com/images/site/2023/08/28/11/41/polestar_austin-pic-11552975930632143790-200x200.jpeg,public/uploads/dealer/Polestar-Austin_Austin_TX.jpg,6 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Polestar-Austin-sp452081,1,1
D-24787059,Covert Chrysler Dodge Jeep Ram-Austin,N/A,8107 Research Blvd,Austin,TX,"Austin, TX",N/A,78758,Good,https://static.cargurus.com/images/site/2017/04/18/09/31/covert_chrysler_dodge_jeep_ram-austin-pic-8307091741099476642-200x200.jpeg,public/uploads/dealer/Covert-Chrysler-Dodge-Jeep-Ram-Austin_Austin_TX.jpg,6 mi,4.0,10,https://www.cargurus.com/Cars/m-Covert-Chrysler-Dodge-Jeep-Ram-Austin-sp302517,1,1
D-24787060,Henna Chevrolet,N/A,8805 N I H 35,Austin,TX,"Austin, TX",N/A,78753,Great experience! Omar is the BEST.,https://static.cargurus.com/images/site/2018/02/07/15/11/henna_chevrolet-pic-2508352822226556752-200x200.jpeg,public/uploads/dealer/Henna-Chevrolet_Austin_TX.jpg,6 mi,4.6,8,https://www.cargurus.com/Cars/m-Henna-Chevrolet-sp245236,1,1
D-24787061,San Fernando Motors Inc,N/A,"8545 N Lamar Blvd,  B",Austin,TX,"Austin, TX",N/A,78753,No reviews available,No image,,7 mi,5.0,1,https://www.cargurus.com/Cars/m-San-Fernando-Motors-Inc-sp369904,1,1
D-24787062,Toyota of North Austin,N/A,8400 Research Blvd,Austin,TX,"Austin, TX",N/A,78758,Trash.  Straight up garbage.  Not the greatest with customer service.  When I was at the dealership signing paperwork there were 2 employees about to fistfight over one taking the others wallet!  I understand coworkers joking around but this was serious.  Days after everything was done I was contacted about my drivers license needing to be scanned.  Keep in mind they had a copy and scanned when I signed final documents.  Does this mean my drivers license scan/copy was lost?  WTF.  I expect a little more professionalism from larger dealerships.  Sadly they are lacking here.  Credit profile is frozen now and hopefully I don’t have any adverse effects from them losing my DL info.,https://static.cargurus.com/images/site/2022/03/08/14/57/toyota_of_north_austin-pic-17067562024622471655-200x200.jpeg,public/uploads/dealer/Toyota-of-North-Austin_Austin_TX.jpg,7 mi,3.9,18,https://www.cargurus.com/Cars/m-Toyota-of-North-Austin-sp54812,1,1
D-24787063,Austin Subaru,N/A,8100 Burnet Rd,Austin,TX,"Austin, TX",N/A,78757,Mr. Patrick took care of all our needs and was an excellent representative for Austin Subaru.,https://static.cargurus.com/images/site/2021/07/29/17/21/austin_subaru-pic-955607995564591547-200x200.jpeg,public/uploads/dealer/Austin-Subaru_Austin_TX.jpg,7 mi,4.5,21,https://www.cargurus.com/Cars/m-Austin-Subaru-sp278333,1,1
D-24787064,Austin INFINITI,N/A,8140 Burnet Rd,Austin,TX,"Austin, TX",N/A,78757,I have called and made an appointment for the vehicle. I have asked them and made sure the vehicle was available for test drive 10minutes before reaching . But it was sold already.,https://static.cargurus.com/images/site/2017/06/05/22/07/austin_infiniti-pic-7578968587778110185-200x200.jpeg,public/uploads/dealer/Austin-INFINITI_Austin_TX.jpg,7 mi,4.4,10,https://www.cargurus.com/Cars/m-Austin-INFINITI-sp68028,1,1
D-24787065,SFG Auto LLC,N/A,8203 Bluff Springs Rd,Austin,TX,"Austin, TX",N/A,78744,Very helpful and kept in touch,https://static.cargurus.com/images/site/2019/12/27/20/46/sfg_auto-pic-4542390892852438018-200x200.jpeg,public/uploads/dealer/SFG-Auto-LLC_Austin_TX.jpg,7 mi,4.9,9,https://www.cargurus.com/Cars/m-SFG-Auto-LLC-sp435850,1,1
D-24787066,First Texas Honda,N/A,3400 Steck Ave,Austin,TX,"Austin, TX",N/A,78757,Great!,https://static.cargurus.com/images/site/2016/10/07/15/02/first_texas_honda-pic-6149946693305294505-200x200.jpeg,public/uploads/dealer/First-Texas-Honda_Austin_TX.jpg,8 mi,4.6,11,https://www.cargurus.com/Cars/m-First-Texas-Honda-sp59413,1,1
D-24787067,Mosing Motorcars,N/A,8990 Research Boulevard,Austin,TX,"Austin, TX",N/A,78758,No reviews available,https://static.cargurus.com/images/site/2015/12/31/11/37/mosing_motorcars-pic-7262937954819789251-200x200.jpeg,public/uploads/dealer/Mosing-Motorcars_Austin_TX.jpg,8 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Mosing-Motorcars-sp344243,1,1
D-24787068,Jewel Motors,N/A,5526 Hwy 290 West,Austin,TX,"Austin, TX",N/A,78735,"great experience with this dealership  worked with Bryan.  I am keeping in touch with him  have to find 
someone to drive me to the dealership so I can look at their vehicles.  Unfortunately I can't drive 2 vehicles at 
the same time.  They are great.",https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer/Jewel-Motors_Austin_TX.jpg,8 mi,4.2,4,https://www.cargurus.com/Cars/m-Jewel-Motors-sp342545,1,1
D-24787069,Third Coast Auto Group,N/A,10500 North Interstate 35 Frontage Road,Austin,TX,"Austin, TX",N/A,78753,No reviews available,No image,,8 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Third-Coast-Auto-Group-sp342525,1,1
D-24787070,Austin Texas Cars and Trucks,N/A,10500 N Interstate 35,Austin,TX,"Austin, TX",N/A,78753,Dealer responded to my questions,https://static.cargurus.com/images/site/2019/08/19/13/01/austin_texas_cars_and_trucks-pic-9029950295717548743-200x200.jpeg,public/uploads/dealer/Austin-Texas-Cars-and-Trucks_Austin_TX.jpg,8 mi,4.9,7,https://www.cargurus.com/Cars/m-Austin-Texas-Cars-and-Trucks-sp346660,1,1
D-24787071,GOL Auto Group,N/A,10400 N Lamar Blvd,Austin,TX,"Austin, TX",N/A,78753,We're in touch still today to make the choice of vehicle that fits my budget,https://static.cargurus.com/images/site/2024/06/13/12/39/gol_auto_group-pic-2054678616719120886-200x200.jpeg,public/uploads/dealer/GOL-Auto-Group_Austin_TX.jpg,8 mi,5.0,1,https://www.cargurus.com/Cars/m-GOL-Auto-Group-sp362730,1,1
D-24787072,Cartech Auto Group LLC,N/A,9619 Beck Circle,Austin,TX,"Austin, TX",N/A,78758,Very responsive. Ended up buying a different car from somewhere else.,https://static.cargurus.com/images/site/2021/01/20/15/00/cartech_auto_group_llc-pic-9890985933706692778-200x200.jpeg,public/uploads/dealer/Cartech-Auto-Group-LLC_Austin_TX.jpg,8 mi,5.0,1,https://www.cargurus.com/Cars/m-Cartech-Auto-Group-LLC-sp432822,1,1
D-24787073,Town North Nissan,N/A,9160 Research Blvd # A,Austin,TX,"Austin, TX",N/A,78758,Dealer was terrible went in with a approved loan and they lied about running our credit to get a better deal  we told them we had a approved loan  they are the worse place in Austin don’t trust them or they treat this way in the beginning how would they treat you when you buy a car,https://static.cargurus.com/images/site/2020/01/08/12/22/town_north_nissan-pic-2745541703404507179-200x200.jpeg,public/uploads/dealer/Town-North-Nissan_Austin_TX.jpg,8 mi,2.5,8,https://www.cargurus.com/Cars/m-Town-North-Nissan-sp281101,1,1
