Dealer ID,Dealer Name,Phone,Address,City,State,Custom Address,Dealer Iframe Map,Zip Code,About Dealer,Dealer Image,Lical Image,Radius,Rating,Review Count,Invnetory Link
D-24787043,DFW Autosales,N/A,4605 Hickory Tree Rd,Balch Springs,TX,"Balch Springs, TX",N/A,75180,No reviews available,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer\DFW-Autosales_Balch Springs_TX.jpg,9 mi,N/A,N/A,https://www.cargurus.com/Cars/m-DFW-Autosales-sp399381,1,1
D-24787044,D.L Campbell,N/A,4008 Main St,Dallas,TX,"Dallas, TX",N/A,75226,Mr. Campbell is awesome and I’m still in correspondence with this dealership.,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer\D.L-Campbell_Dallas_TX.jpg,9 mi,5.0,1,https://www.cargurus.com/Cars/m-D-L-Campbell-sp450780,1,1
D-24787045,Platinum Auto Broker,N/A,By Appointment Only,Dallas,TX,"Dallas, TX",N/A,75204,No reviews available,https://static.cargurus.com/images/site/2022/01/25/11/26/platinum_auto_broker-pic-941420377016054662-200x200.jpeg,public/uploads/dealer\Platinum-Auto-Broker_Dallas_TX.jpg,9 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Platinum-Auto-Broker-sp319590,1,1
D-24787046,Benitez Auto Group,N/A,"3011 Fort Worth Ave,  suite #2",Dallas,TX,"Dallas, TX",N/A,75211,"I had a great experience! They helped me secure financing with a 7% interest rate, even though I didn’t have a huge down payment! I would recommend!",https://static.cargurus.com/images/site/2021/08/10/17/30/benitez_auto_group-pic-13048769426042253002-200x200.jpeg,public/uploads/dealer\Benitez-Auto-Group_Dallas_TX.jpg,9 mi,4.2,5,https://www.cargurus.com/Cars/m-Benitez-Auto-Group-sp430515,1,1
D-24787047,Frontline Motors,N/A,800 Augusta Ln,Red Oak,TX,"Red Oak, TX",N/A,75154,No reviews available,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer\Frontline-Motors_Red Oak_TX.jpg,9 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Frontline-Motors-sp451758,1,1
D-24787048,Dallas Auto Group,N/A,5217 Lawnview Ave,Dallas,TX,"Dallas, TX",N/A,75227,great sales man i will use them again,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer\Dallas-Auto-Group_Dallas_TX.jpg,9 mi,5.0,4,https://www.cargurus.com/Cars/m-Dallas-Auto-Group-sp370960,1,1
D-24787049,BOSS Luxury Collection,N/A,2300 North Field Street,Dallas,TX,"Dallas, TX",N/A,75201,They only replied once and never followed up.,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer\BOSS-Luxury-Collection_Dallas_TX.jpg,9 mi,4.0,3,https://www.cargurus.com/Cars/m-BOSS-Luxury-Collection-sp436019,1,1
D-24787050,Opulence Auto Sales,N/A,"2904 S Walton Walker Blvd,  Suite 4",Dallas,TX,"Dallas, TX",N/A,75211,Very helpful,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer\Opulence-Auto-Sales_Dallas_TX.jpg,9 mi,5.0,6,https://www.cargurus.com/Cars/m-Opulence-Auto-Sales-sp447972,1,1
D-24787051,Go Luxury Auto Group,N/A,148 Riveredge Dr Suite 120,Dallas,TX,"Dallas, TX",N/A,75207,"Being an out of state buyer, my POC was very responsive and friendly.",https://static.cargurus.com/images/site/2021/06/08/11/58/go_luxury_auto_group-pic-4042150984395636209-200x200.jpeg,public/uploads/dealer\Go-Luxury-Auto-Group_Dallas_TX.jpg,9 mi,3.5,15,https://www.cargurus.com/Cars/m-Go-Luxury-Auto-Group-sp442750,1,1
D-24787052,AUTO CORNER INC,N/A,2203 Ivanhoe Lane,Dallas,TX,"Dallas, TX",N/A,75208,I got a great price from auto corner. The process only took 15 minutes. It was so fast. It was a great experience.,https://static.cargurus.com/images/site/2021/10/10/14/45/auto_corner_inc-pic-13032639485135416934-200x200.jpeg,public/uploads/dealer\AUTO-CORNER-INC_Dallas_TX.jpg,10 mi,4.8,5,https://www.cargurus.com/Cars/m-AUTO-CORNER-INC-sp440925,1,1
D-24787053,KNZ Motors of Texas,N/A,"4214 W Davis St,  Office 50",Dallas,TX,"Dallas, TX",N/A,75211,Dealer responded promptly; but our interested shifted to another vehicle.,https://static.cargurus.com/images/site/2024/02/22/14/57/knz_motors_of_texas-pic-14323304510976123991-200x200.jpeg,public/uploads/dealer\KNZ-Motors-of-Texas_Dallas_TX.jpg,10 mi,5.0,3,https://www.cargurus.com/Cars/m-KNZ-Motors-of-Texas-sp453658,1,1
D-24787054,Allen Motor Co.,N/A,4516 Ross Ave,Dallas,TX,"Dallas, TX",N/A,75204,He was a great dealer. I just didn’t really have enough time to respond much and I don’t have the type of money right now.,https://static.cargurus.com/images/site/2017/07/31/16/58/allen_motor_co_-pic-7539506272391576328-200x200.jpeg,public/uploads/dealer\Allen-Motor-Co._Dallas_TX.jpg,10 mi,4.5,4,https://www.cargurus.com/Cars/m-Allen-Motor-Co-sp285710,1,1
D-24787055,Kanda Motors,N/A,4917 Ross Avenue,Dallas,TX,"Dallas, TX",N/A,75206,"Katie was very professional, knowledgeable, and answered all my questions. She also sold me a truck. I would definitely recommend Kanda Motors of Dallas Texas. Definitely deserves 5 stars.",https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer\Kanda-Motors_Dallas_TX.jpg,10 mi,5.0,2,https://www.cargurus.com/Cars/m-Kanda-Motors-sp442412,1,1
D-24787056,"Young Chevrolet, Inc.",N/A,9301 E Rl Thornton Fwy,Dallas,TX,"Dallas, TX",N/A,75228,Timely contact,https://static.cargurus.com/images/site/2018/10/16/10/32/young_chevrolet__inc_-pic-4140327549132363768-200x200.jpeg,"public/uploads/dealer\Young-Chevrolet,-Inc._Dallas_TX.jpg",10 mi,4.5,18,https://www.cargurus.com/Cars/m-Young-Chevrolet-Inc-sp53478,1,1
D-24787057,Norm Reeves Toyota Dallas,N/A,9525 E R L Thornton Fwy,Dallas,TX,"Dallas, TX",N/A,75228,Deal was pretty good overall. Car delivered with only 4th tank and a scratch on fender that wasn’t disclosed but happy with the purchase,https://static.cargurus.com/images/site/2024/11/05/13/57/norm_reeves_toyota_dallas-pic-2097199056917856816-200x200.jpeg,public/uploads/dealer\Norm-Reeves-Toyota-Dallas_Dallas_TX.jpg,11 mi,4.0,8,https://www.cargurus.com/Cars/m-Norm-Reeves-Toyota-Dallas-sp284555,1,1
D-24787058,BBC Motorsports,N/A,1320 Chemical St Ste B2,Dallas,TX,"Dallas, TX",N/A,75207,Wonderful service all the way,https://static.cargurus.com/images/site/2018/10/25/16/12/bbc_motorsports-pic-1584270957201550650-200x200.jpeg,public/uploads/dealer\BBC-Motorsports_Dallas_TX.jpg,11 mi,4.9,27,https://www.cargurus.com/Cars/m-BBC-Motorsports-sp337497,1,1
D-24787059,One World Cars Llc,N/A,4441 Interstate 30,Mesquite,TX,"Mesquite, TX",N/A,75150,"They responded to me immediately and they were very helpful.  Although I did not buy a 
car from them this time, I am definitely going to use them in the future.",https://static.cargurus.com/images/site/2024/01/29/11/10/one_world_cars_llc-pic-9349140238093009659-200x200.jpeg,public/uploads/dealer\One-World-Cars-Llc_Mesquite_TX.jpg,11 mi,5.0,4,https://www.cargurus.com/Cars/m-One-World-Cars-Llc-sp342076,1,1
D-24787060,Noka Auto Group,N/A,1001 Dalworth Dr,Mesquite,TX,"Mesquite, TX",N/A,75149,No reviews available,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer\Noka-Auto-Group_Mesquite_TX.jpg,11 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Noka-Auto-Group-sp453157,1,1
D-24787061,Fidelity Financial,N/A,2532 US-80 E,Mesquite,TX,"Mesquite, TX",N/A,75149,The dealership reached out to me about the car. I was supposed to go that morning to look at the car but I decided to go to other cars lots 1st and then that afternoon they called me back and I stop by. It's was 4 more people who came and looked at the car after me. The price that he quoted me over the phone was actually they were running a weekend special on the car. They treated me and my family with respect it was hot outside that day and they gave my kids water and chips and let them used the restroom. The car was clean in the inside but It didn't have any gas. But once I purchased the car they went to gas station and put about 10.00 worth of gas in the car. The dealership did drive the car which I was impressed. Yes I would recommend this dealership for purchase cars. Now I'm just waiting on my plates to come in.,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer\Fidelity-Financial_Mesquite_TX.jpg,12 mi,4.5,2,https://www.cargurus.com/Cars/m-Fidelity-Financial-sp450855,1,1
D-24787062,Goodson Acura of Dallas,N/A,4801 Lemmon Ave,Dallas,TX,"Dallas, TX",N/A,75219,Tim’s follow up was amazing!,https://static.cargurus.com/images/site/2020/02/07/09/44/goodson_acura_of_dallas-pic-2779971184984928691-200x200.jpeg,public/uploads/dealer\Goodson-Acura-of-Dallas_Dallas_TX.jpg,12 mi,4.8,16,https://www.cargurus.com/Cars/m-Goodson-Acura-of-Dallas-sp59775,1,1
D-24787063,Friendly Chevrolet Co.,N/A,2754 N Stemmons Fwy,Dallas,TX,"Dallas, TX",N/A,75207,Very helpful and answered all my questions,https://static.cargurus.com/images/site/2024/03/27/16/53/friendly_chevrolet_co_-pic-1306426557884625129-200x200.jpeg,public/uploads/dealer\Friendly-Chevrolet-Co._Dallas_TX.jpg,12 mi,3.8,18,https://www.cargurus.com/Cars/m-Friendly-Chevrolet-Co-sp53475,1,1
D-24787064,Audi Dallas,N/A,5033 Lemmon Ave,Dallas,TX,"Dallas, TX",N/A,75209,Fabulous!!!!,https://static.cargurus.com/images/site/2022/10/03/12/39/audi_dallas-pic-4908054741857803281-200x200.jpeg,public/uploads/dealer\Audi-Dallas_Dallas_TX.jpg,12 mi,4.9,11,https://www.cargurus.com/Cars/m-Audi-Dallas-sp234044,1,1
D-24787065,John Eagle Honda of Dallas,N/A,5311 Lemmon Ave,Dallas,TX,"Dallas, TX",N/A,75209,I believe this dealer is very prompt and professional,https://static.cargurus.com/images/site/2020/11/12/12/11/john_eagle_honda_of_dallas-pic-14406814275028027004-200x200.jpeg,public/uploads/dealer\John-Eagle-Honda-of-Dallas_Dallas_TX.jpg,12 mi,4.0,9,https://www.cargurus.com/Cars/m-John-Eagle-Honda-of-Dallas-sp59370,1,1
